version,section,function,length,matching
us,.arcade,func_arcade_800319D4,2116,yes
us,.arcade,arcade_50m_setup,2168,yes
us,.arcade,func_arcade_800252D8,452,yes
us,.arcade,func_arcade_80024320,236,yes
us,.arcade,func_arcade_8002419C,388,yes
us,.arcade,arcade_get_first_object_of_type,120,yes
us,.arcade,func_arcade_8002F82C,1532,yes
us,.arcade,arcade_set_text_rgba,36,yes
us,.arcade,func_arcade_80030A04,260,yes
us,.arcade,arcade_cycle_rng,48,yes
us,.arcade,arcade_help_text_update,356,yes
us,.arcade,func_arcade_800311E0,472,yes
us,.arcade,func_arcade_800247F0,56,yes
us,.arcade,func_arcade_80030734,332,yes
us,.arcade,func_arcade_8002B390,1292,yes
us,.arcade,func_arcade_80024000,412,yes
us,.arcade,func_arcade_80024D90,244,yes
us,.arcade,func_arcade_80024940,272,yes
us,.arcade,func_arcade_8002AF2C,120,yes
us,.arcade,arcade_25m_setup,1328,yes
us,.arcade,func_arcade_800255F4,484,yes
us,.arcade,func_arcade_80026050,572,yes
us,.arcade,func_arcade_800268AC,1608,yes
us,.arcade,arcade_hammer_update,892,yes
us,.arcade,func_arcade_800255A8,76,yes
us,.arcade,func_arcade_80030CEC,708,yes
us,.arcade,arcade_dk_50m_update,460,yes
us,.arcade,arcade_points_text_update,164,yes
us,.arcade,func_arcade_80026EF4,1516,yes
us,.arcade,func_arcade_800259D0,568,yes
us,.arcade,func_arcade_8002E3D4,780,yes
us,.arcade,func_arcade_8002628C,352,yes
us,.arcade,func_arcade_80025C08,1096,yes
us,.arcade,arcade_play_sfx,52,yes
us,.arcade,func_arcade_800274E0,264,yes
us,.arcade,func_arcade_800263EC,300,yes
us,.arcade,func_arcade_8002A474,704,yes
us,.arcade,arcade_pauline_top_update,180,yes
us,.arcade,func_arcade_80029ACC,516,yes
us,.arcade,func_arcade_80024B04,304,yes
us,.arcade,func_arcade_8002CBD8,396,yes
us,.arcade,func_arcade_8002A264,300,yes
us,.arcade,arcade_dk_title_update,692,yes
us,.arcade,__arcade_abs_w,24,yes
us,.arcade,func_arcade_80029968,356,yes
us,.arcade,arcade_get_object_type_count,104,yes
us,.arcade,arcade_pie_update,360,yes
us,.arcade,func_arcade_8002B89C,4924,yes
us,.arcade,func_arcade_8002AA24,560,yes
us,.arcade,func_arcade_80024A50,180,yes
us,.arcade,arcade_set_text_position,20,yes
us,.arcade,arcade_draw_text,296,yes
us,.arcade,func_arcade_8002440C,216,yes
us,.arcade,func_arcade_8002B2C0,184,yes
us,.arcade,func_arcade_8003159C,940,yes
us,.arcade,func_arcade_800247B8,56,yes
us,.arcade,func_arcade_80024C34,196,yes
us,.arcade,func_arcade_800246C8,36,yes
us,.arcade,func_arcade_800257D8,392,yes
us,.arcade,func_arcade_80030FEC,500,yes
us,.arcade,func_arcade_8002549C,268,yes
us,.arcade,func_arcade_80029EFC,872,yes
us,.arcade,func_arcade_80029CD0,556,yes
us,.arcade,func_arcade_80027E8C,128,yes
us,.arcade,arcade_rivet_update,388,yes
us,.arcade,arcade_pauline_bottom_update,268,yes
us,.arcade,func_arcade_80026680,556,yes
us,.arcade,func_arcade_80025240,100,yes
us,.arcade,arcade_100m_setup,1460,yes
us,.arcade,func_arcade_8002CD64,2456,yes
us,.arcade,func_arcade_80030C70,124,yes
us,.arcade,func_arcade_80024828,56,yes
us,.arcade,arcade_75m_setup,1792,yes
us,.arcade,func_arcade_80031948,140,yes
us,.arcade,func_arcade_800275E8,1104,yes
us,.arcade,func_arcade_8002EEB8,2420,yes
us,.arcade,func_arcade_8002E158,636,yes
us,.arcade,func_arcade_80024CF8,152,yes
us,.arcade,func_arcade_80024E84,852,yes
us,.arcade,func_arcade_8002A734,752,yes
us,.arcade,func_arcade_800313B8,484,yes
us,.arcade,func_arcade_8002A408,108,yes
us,.arcade,func_arcade_8002AFA4,796,yes
us,.arcade,func_arcade_8002D6FC,2652,yes
us,.arcade,arcade_bonus_item_update,260,yes
us,.arcade,arcade_pulley_update,196,yes
us,.arcade,arcade_barrel_stack_update,60,yes
us,.arcade,arcade_get_first_empty_slot,120,yes
us,.arcade,func_arcade_80024764,84,yes
us,.arcade,func_arcade_80027A38,1108,yes
us,.arcade,func_arcade_800251D8,104,yes
us,.arcade,func_arcade_8002A390,120,yes
us,.arcade,func_arcade_8002AC54,728,yes
us,.arcade,func_arcade_80025960,112,yes
us,.arcade,arcade_nintendo_coin_update,316,yes
us,.arcade,func_arcade_8002FE28,540,yes
us,.arcade,arcade_add_points_to_score,84,yes
us,.arcade,func_arcade_80026518,360,yes
