version,section,function,length,matching
us,.race,func_race_8002597C,1312,no
us,.race,func_race_80028E20,564,yes
us,.race,func_race_8002E960,76,yes
us,.race,func_race_80026004,76,yes
us,.race,func_race_8002E9F8,528,yes
us,.race,func_race_8002CFF0,116,yes
us,.race,initializeSealRace,76,yes
us,.race,func_race_8002D148,220,yes
us,.race,func_race_80029054,600,yes
us,.race,func_race_8002C14C,412,yes
us,.race,func_race_8002ED04,208,yes
us,.race,func_race_80024000,1588,no
us,.race,func_race_8002BBD0,92,yes
us,.race,func_race_8002BCB0,36,yes
us,.race,func_race_8002C76C,860,no
us,.race,func_race_8002DE78,192,yes
us,.race,func_race_8002D2C0,120,yes
us,.race,func_race_8002E1C8,256,yes
us,.race,func_race_8002A7F8,1652,yes
us,.race,func_race_80027BD0,144,yes
us,.race,func_race_800261E0,372,yes
us,.race,func_race_8002F490,756,yes
us,.race,func_race_8002DF38,656,yes
us,.race,func_race_8002D524,520,no
us,.race,func_race_8002D72C,40,yes
us,.race,func_race_8002E9AC,76,yes
us,.race,func_race_8002D360,172,yes
us,.race,func_race_800257A4,472,no
us,.race,func_race_8002F36C,180,yes
us,.race,func_race_80024690,4308,yes
us,.race,func_race_8002F784,392,no
us,.race,func_race_8002DDA0,216,yes
us,.race,func_race_8002D338,40,yes
us,.race,func_race_80027C60,136,yes
us,.race,func_race_8002F0AC,468,yes
us,.race,func_race_80026D2C,440,yes
us,.race,func_race_8002F950,448,yes
us,.race,func_race_8002BDDC,268,no
us,.race,func_race_8002F280,132,yes
us,.race,func_race_8002CAC8,292,yes
us,.race,func_race_800292B0,32,yes
us,.race,func_race_80028AD0,848,no
us,.race,func_race_8002EDD4,632,yes
us,.race,func_race_80025770,28,yes
us,.race,func_race_8002E2C8,412,yes
us,.race,func_race_8002B610,184,yes
us,.race,func_race_8002578C,24,yes
us,.race,func_race_8002D0FC,76,yes
us,.race,func_race_8002ECD4,48,yes
us,.race,func_race_8002F304,104,yes
us,.race,func_race_8002E8EC,112,yes
us,.race,func_race_8002C63C,304,yes
us,.race,func_race_80026050,72,yes
us,.race,func_race_80026B20,392,yes
us,.race,func_race_8002F04C,96,yes
us,.race,func_race_80025E9C,320,no
us,.race,func_race_80027CE8,1024,no
us,.race,func_race_80027B30,160,yes
us,.race,func_race_8002D754,36,yes
us,.race,func_race_80024634,92,yes
us,.race,func_race_80026F04,1468,no
us,.race,func_race_8002DC24,204,yes
us,.race,initializeCastleCarRace,424,yes
us,.race,func_race_8002E484,448,yes
us,.race,func_race_8002F420,112,yes
us,.race,func_race_8002AE9C,740,yes
us,.race,func_race_800294A8,740,yes
us,.race,func_race_80027710,368,no
us,.race,func_race_80028440,1680,no
us,.race,func_race_8002B964,608,yes
us,.race,func_race_800276B0,96,yes
us,.race,func_race_8002DA68,296,yes
us,.race,func_race_8002978C,2044,no
us,.race,func_race_8002B518,248,yes
us,.race,func_race_80025FDC,40,yes
us,.race,func_race_800292D0,440,yes
us,.race,func_race_800283D4,108,yes
us,.race,func_race_80027920,472,no
us,.race,func_race_80026354,1996,no
us,.race,func_race_8002B6F4,120,yes
us,.race,func_race_8002BEE8,612,yes
us,.race,sealRaceSetup,32,yes
us,.race,func_race_8002AE6C,48,yes
us,.race,func_race_8002DB90,148,yes
us,.race,func_race_8002D224,156,yes
us,.race,func_race_8002B6C8,44,yes
us,.race,func_race_80029F88,248,yes
us,.race,func_race_8002DCF0,128,yes
us,.race,func_race_80027AF8,56,yes
us,.race,func_race_800282D8,252,yes
us,.race,func_race_80027880,160,yes
us,.race,func_race_80026CA8,132,yes
us,.race,func_race_8002BC2C,132,yes
us,.race,castleCarRaceSetup,76,yes
us,.race,func_race_800274C0,488,yes
us,.race,func_race_8002B76C,504,yes
us,.race,func_race_8002D4A0,132,yes
us,.race,func_race_8002E464,32,yes
us,.race,func_race_8002DD70,48,yes
us,.race,func_race_80026EE4,32,yes
us,.race,func_race_8002BCD4,264,yes
us,.race,func_race_8002D778,752,no
us,.race,func_race_8002D40C,148,yes
us,.race,func_race_8002E644,680,yes
us,.race,func_race_8002B180,920,no
us,.race,setupRaceOnMapLoad,204,yes
us,.race,func_race_8002C2E8,852,no
us,.race,func_race_8002A0AC,1444,no
us,.race,func_race_8002F90C,68,yes
us,.race,func_race_8002A080,44,yes
us,.race,func_race_800280E8,496,yes
us,.race,func_race_80026098,328,yes
us,.race,func_race_8002CBEC,1028,no
