version,section,function,length,matching
us,asm,func_global_asm_8062A774,92,yes
us,asm,func_global_asm_80710CA0,1904,no
us,asm,func_global_asm_8060DC3C,620,no
us,asm,func_global_asm_8063CF3C,668,no
us,asm,func_global_asm_807146F4,20,yes
us,asm,func_global_asm_806E5C74,236,yes
us,asm,func_global_asm_8068842C,52,yes
us,asm,func_global_asm_806FA7BC,516,no
us,asm,func_global_asm_8062D620,1236,no
us,asm,func_global_asm_806A2E30,2256,no
us,asm,func_global_asm_8063DA40,56,yes
us,asm,func_global_asm_805FC2B0,952,no
us,asm,func_global_asm_80685020,176,yes
us,asm,func_global_asm_806CF42C,140,yes
us,asm,func_global_asm_80602DC4,168,yes
us,asm,func_global_asm_8073BDC4,144,no
us,asm,func_global_asm_8071C620,504,yes
us,asm,func_global_asm_8066E72C,296,yes
us,asm,func_global_asm_806C55D8,8,yes
us,asm,func_global_asm_806E4AD8,404,yes
us,asm,func_global_asm_8067AF74,168,yes
us,asm,func_global_asm_80713AA8,152,yes
us,asm,func_global_asm_806CFF1C,128,yes
us,asm,func_global_asm_806CA5F8,3908,no
us,asm,func_global_asm_80650BBC,108,yes
us,asm,func_global_asm_806614D0,80,yes
us,asm,func_global_asm_8071F444,540,yes
us,asm,func_global_asm_806E1BA4,404,no
us,asm,func_global_asm_80654380,152,yes
us,asm,func_global_asm_80688320,80,yes
us,asm,func_global_asm_80635214,56,no
us,asm,func_global_asm_807146A4,60,yes
us,asm,func_global_asm_806D19A8,440,yes
us,asm,func_global_asm_8069AB74,1148,no
us,asm,func_global_asm_80695B50,92,yes
us,asm,func_global_asm_8070F570,92,yes
us,asm,func_global_asm_807197B4,600,no
us,asm,func_global_asm_8068C2EC,12,yes
us,asm,func_global_asm_8065F678,748,no
us,asm,func_global_asm_8067889C,328,no
us,asm,func_global_asm_806761EC,28,yes
us,asm,func_global_asm_8066F274,396,yes
us,asm,func_global_asm_80679DC4,728,yes
us,asm,func_global_asm_806C5FEC,476,yes
us,asm,func_global_asm_8071F078,344,yes
us,asm,func_global_asm_8064B5A4,500,yes
us,asm,func_global_asm_80639C04,204,no
us,asm,func_global_asm_80664D20,1088,no
us,asm,func_global_asm_80642748,252,yes
us,asm,func_global_asm_8073A070,192,no
us,asm,func_global_asm_8071498C,12,yes
us,asm,func_global_asm_8063DB0C,48,yes
us,asm,func_global_asm_80672630,80,yes
us,asm,func_global_asm_8064BE58,40,yes
us,asm,func_global_asm_8062F3A0,128,no
us,asm,func_global_asm_806303C4,452,yes
us,asm,func_global_asm_806627CC,108,yes
us,asm,func_global_asm_806CFE30,76,yes
us,asm,func_global_asm_8062F420,280,no
us,asm,func_global_asm_8071E110,184,yes
us,asm,func_global_asm_8072C670,512,no
us,asm,func_global_asm_8060B750,116,yes
us,asm,func_global_asm_80728004,196,yes
us,asm,func_global_asm_80679178,100,yes
us,asm,func_global_asm_806F6204,848,no
us,asm,func_global_asm_806533C4,284,yes
us,asm,func_global_asm_80724B5C,208,yes
us,asm,areAllKeysTurnedIn,92,yes
us,asm,func_global_asm_8064AAC4,88,yes
us,asm,func_global_asm_80724A20,124,yes
us,asm,func_global_asm_80723484,1104,no
us,asm,func_global_asm_8065CDB0,156,yes
us,asm,func_global_asm_8073BE54,492,yes
us,asm,func_global_asm_8072827C,132,yes
us,asm,func_global_asm_806CA1B4,184,yes
us,asm,func_global_asm_8065CFB8,80,yes
us,asm,func_global_asm_8066A988,648,no
us,asm,func_global_asm_8064BD2C,300,yes
us,asm,func_global_asm_8072EE0C,112,yes
us,asm,func_global_asm_8065E81C,552,no
us,asm,func_global_asm_8072B7CC,3748,no
us,asm,func_global_asm_80651C2C,1312,no
us,asm,func_global_asm_80672AFC,32,yes
us,asm,func_global_asm_80676BCC,68,yes
us,asm,func_global_asm_806A615C,116,yes
us,asm,func_global_asm_806500E0,1084,no
us,asm,func_global_asm_806ADFE0,720,yes
us,asm,func_global_asm_806AB4EC,796,no
us,asm,func_global_asm_8072DAA4,196,yes
us,asm,func_global_asm_806EFF34,312,yes
us,asm,func_global_asm_805FC98C,216,yes
us,asm,func_global_asm_806DECD4,112,yes
us,asm,func_global_asm_8060B8F8,112,yes
us,asm,func_global_asm_80737A74,40,yes
us,asm,func_global_asm_80642940,688,yes
us,asm,func_global_asm_80658E8C,644,no
us,asm,func_global_asm_8064EB3C,96,yes
us,asm,func_global_asm_80712944,252,no
us,asm,func_global_asm_806836D0,944,no
us,asm,func_global_asm_806FD7A8,236,no
us,asm,func_global_asm_806F9608,100,yes
us,asm,func_global_asm_807069A4,1516,no
us,asm,func_global_asm_806DD874,572,yes
us,asm,func_global_asm_8068EF54,2008,no
us,asm,func_global_asm_806F5DF8,188,yes
us,asm,func_global_asm_806C3F10,1176,no
us,asm,func_global_asm_8067E6E4,32,yes
us,asm,func_global_asm_806FB370,96,yes
us,asm,func_global_asm_8069DD40,536,yes
us,asm,func_global_asm_8066BC00,92,yes
us,asm,func_global_asm_806E61D0,100,yes
us,asm,func_global_asm_80666A88,12,yes
us,asm,func_global_asm_806DF44C,72,yes
us,asm,func_global_asm_807002AC,144,yes
us,asm,func_global_asm_80652E58,100,yes
us,asm,func_global_asm_80646770,520,no
us,asm,func_global_asm_806D7170,200,yes
us,asm,func_global_asm_8073B830,208,no
us,asm,func_global_asm_806776A0,1548,no
us,asm,func_global_asm_80646DC4,836,yes
us,asm,func_global_asm_8072F120,272,yes
us,asm,func_global_asm_806FBB58,68,yes
