version,section,function,length,matching
us,boot,guLookAtHiliteF,1848,yes
us,boot,osSetTime,36,yes
us,boot,__osGetFpcCsr,16,yes
us,boot,__ll_rshift,44,yes
us,boot,osViGetCurrentMode,72,yes
us,boot,guTranslateF,72,yes
us,boot,__osSiRelAccess,44,yes
us,boot,guLookAt,120,yes
us,boot,__osViGetCurrentContext,12,yes
us,boot,osAiSetNextBuffer,164,yes
us,boot,osGetThreadPri,24,yes
us,boot,osStopThread,192,yes
us,boot,func_dk64_boot_800004F4,180,yes
us,boot,__ull_div,60,yes
us,boot,__osTimerInterrupt,376,yes
us,boot,__osGetId,428,yes
us,boot,func_dk64_boot_800022D4,288,yes
us,boot,func_dk64_boot_80002A64,88,no
us,boot,osInitialize,704,yes
us,boot,__osPackRequestData,244,yes
us,boot,__osSiRawStartDma,172,yes
us,boot,osEepromWrite,376,yes
us,boot,osViSetEvent,108,yes
us,boot,guOrthoF,340,yes
us,boot,__osSpSetPc,52,yes
us,boot,func_dk64_boot_80002DE4,180,no
us,boot,__ull_divremi,96,yes
us,boot,osEepromRead,452,yes
us,boot,__osEnqueueThread,72,yes
us,boot,__osPiGetAccess,68,yes
us,boot,__osPopThread,16,yes
us,boot,func_dk64_boot_800023F4,232,yes
us,boot,__ll_mul,48,yes
us,boot,__osContAddressCrc,208,yes
us,boot,__ll_div,92,yes
us,boot,osGetTime,132,yes
us,boot,func_dk64_boot_80000EEC,320,no
us,boot,osDpSetStatus,12,yes
us,boot,func_dk64_boot_80000980,80,yes
us,boot,__d_to_ull,160,yes
us,boot,osCreateViManager,384,yes
us,boot,__ll_rem,60,yes
us,boot,guRotateF,404,yes
us,boot,func_dk64_boot_80005010,96,yes
us,boot,func_dk64_boot_80000A30,112,no
us,boot,guMtxCatF,360,yes
us,boot,osContStartReadData,132,yes
us,boot,osYieldThread,76,yes
us,boot,guRotate,80,yes
us,boot,strlen,60,yes
us,boot,osViGetNextFramebuffer,64,yes
us,boot,osEepromProbe,112,yes
us,boot,guMtxIdentF,136,yes
us,boot,__osSpDeviceBusy,44,yes
us,boot,osContSetCh,100,yes
us,boot,__osCheckId,212,yes
us,boot,guOrtho,104,yes
us,boot,__osGetSR,16,yes
us,boot,__osContDataCrc,148,yes
us,boot,osInvalDCache,176,yes
us,boot,__osMotorAccess,360,yes
us,boot,__osSpRawStartDma,140,yes
us,boot,osMapTLBRdb,96,yes
us,boot,func_dk64_boot_800028E0,268,no
us,boot,osWritebackDCache,128,yes
us,boot,__osPfsSelectBank,120,yes
