version,section,function,length,matching
us,.boss,func_boss_8002C748,132,yes
us,.boss,func_boss_8002FC48,80,yes
us,.boss,func_boss_800339D8,168,yes
us,.boss,func_boss_80033AF0,7276,no
us,.boss,func_boss_8003575C,328,yes
us,.boss,func_boss_800286B8,360,no
us,.boss,func_boss_8003392C,172,yes
us,.boss,func_boss_80027950,224,yes
us,.boss,func_boss_8002DC60,128,yes
us,.boss,func_boss_80028680,56,yes
us,.boss,func_boss_8002C7CC,232,yes
us,.boss,func_boss_8002920C,160,yes
us,.boss,func_boss_80024EAC,252,yes
us,.boss,func_boss_800290D4,108,yes
us,.boss,func_boss_80028820,88,yes
us,.boss,func_boss_8002FF74,2324,no
us,.boss,func_boss_8002E9B8,92,yes
us,.boss,func_boss_8002D230,2608,no
us,.boss,func_boss_800253AC,292,yes
us,.boss,func_boss_80029468,3544,no
us,.boss,func_boss_800334A4,540,yes
us,.boss,func_boss_8002C8B4,176,yes
us,.boss,func_boss_80028878,2140,no
us,.boss,func_boss_8002A55C,112,yes
us,.boss,func_boss_80027A30,376,yes
us,.boss,func_boss_8002FB7C,204,yes
us,.boss,func_boss_800251A0,380,yes
us,.boss,func_boss_8002C5F4,340,yes
us,.boss,func_boss_80028478,520,yes
us,.boss,func_boss_80027840,180,no
us,.boss,func_boss_8002DE04,2460,no
us,.boss,func_boss_80033784,424,no
us,.boss,func_boss_80030C30,288,yes
us,.boss,func_boss_80029140,204,yes
us,.boss,func_boss_800293C0,168,yes
us,.boss,func_boss_80028458,32,yes
us,.boss,func_boss_80027770,200,yes
us,.boss,func_boss_80030E58,108,yes
us,.boss,func_boss_80024524,68,yes
us,.boss,func_boss_8002413C,452,no
us,.boss,func_boss_8002FEC0,180,yes
us,.boss,func_boss_80031AA0,4200,no
us,.boss,func_boss_8002EA7C,1668,no
us,.boss,func_boss_8003340C,152,yes
us,.boss,func_boss_80030EC4,3036,no
us,.boss,func_boss_8002531C,72,yes
us,.boss,func_boss_8002DCE0,156,yes
us,.boss,func_boss_80030888,140,yes
us,.boss,func_boss_8002C964,2244,yes
us,.boss,func_boss_8002DD7C,136,yes
us,.boss,func_boss_80027BA8,2224,no
us,.boss,func_boss_8002E82C,396,yes
us,.boss,func_boss_8002A92C,7156,no
us,.boss,func_boss_80024300,524,yes
us,.boss,func_boss_8002C520,212,yes
us,.boss,func_boss_80024568,2372,no
us,.boss,func_boss_80024FA8,504,yes
us,.boss,func_boss_8002EA14,104,yes
us,.boss,func_boss_8002A240,476,no
us,.boss,func_boss_8002A41C,320,yes
us,.boss,func_boss_800330D0,828,no
us,.boss,func_boss_80032B08,1480,no
us,.boss,func_boss_80025364,72,yes
us,.boss,func_boss_80030D50,264,yes
us,.boss,func_boss_800336C0,196,yes
us,.boss,func_boss_80030920,448,yes
us,.boss,func_boss_800278F4,92,yes
us,.boss,func_boss_8002A5CC,748,yes
us,.boss,func_boss_80024000,316,no
us,.boss,func_boss_8002E7A0,140,yes
us,.boss,func_boss_8002FC98,352,no
us,.boss,func_boss_80030AE0,336,yes
us,.boss,func_boss_800292B0,272,yes
us,.boss,func_boss_80033A80,112,yes
us,.boss,func_boss_800254D0,8864,no
us,.boss,func_boss_8002F100,2684,no
us,.boss,func_boss_8002450C,24,yes
us,.boss,func_boss_8002A8B8,116,yes
us,.boss,func_boss_8002FDF8,200,yes
